series,x,y
A,8,897
A,972,984
A,822,604
B,847,174
A,916,371
B,200,461
B,730,737
A,94,670
B,340,47
B,336,697
A,969,101
B,463,961
A,196,734
B,370,280
A,377,199
A,141,661
B,756,239
A,319,530
B,889,48
A,413,947
A,390,912
B,772,164
A,280,562
A,343,902
A,24,57
A,49,82
A,458,821
A,640,761
A,273,943
B,975,312
A,428,941
B,568,383
B,888,271
B,609,954
A,919,829
B,136,76
A,968,835
A,699,234
A,129,414
B,957,471
B,840,113
B,325,797
A,848,69
B,397,326
A,366,154
A,912,686
A,49,585
B,756,630
B,487,281
A,832,570
B,931,427
B,367,444
A,883,233
B,499,741
B,939,162
A,499,93
B,11,37
A,993,173
A,836,999
B,982,478
