friends_count,boto_prob,followers_count,time
390,0.8,855688,2023/4/4
1,,3801,2023/4/25
2959,,11349,2023/3/3
465,,536,2023/9/14
713,,510,2023/9/2
354,,11004,2023/4/23
255,,53,2023/9/1
1101,,1568,2022/12/10
1071,,1162,2023/5/12
807,0.36,439,2023/1/15
864,,414,2023/8/4
560,,456,2023/5/5
353,,2151,2023/8/16
163,,13089,2023/7/4
299,,117,2023/5/6
50,,33,2023/2/13
1144,,16456,2023/7/20
666,,191,2023/4/22
417,,51,2023/2/8
7,,0,2023/10/12
1392,,352,2023/9/4
353,,11352,2023/5/9
359,,10917,2023/6/1
9763,,8980,2023/3/1
758,,523,2023/1/23
2831,,12554,2023/2/4
1003,,237,2023/10/25
1904,,17914,2023/10/11
3678,0.8,2828,2022/12/20
29,,4949,2023/6/18
259,,48,2023/3/6
13,,1153,2023/10/2
0,,1394,2023/4/8
6522,,13015,2023/9/22
3795,0.87,3810,2023/4/26
13615,1,15599,2023/5/1
758,0.74,6011045,2023/9/16
10181,0.79,1461352,2023/9/10
10478,0.55,20907,2023/7/8
5990,0.39,756256,2023/8/23
1873,0.53,46762,2023/10/18
2083,0.48,1455,2023/5/9
2888,0.62,1304,2023/8/20
1812,0.28,1404069,2023/4/27
939,0.62,278506,2023/5/27
1443,,67350,2023/2/26
1345,0.45,1611880,2023/8/16
24612,0.88,22882,2023/2/11
2581,0.8,879833,2023/4/15
3211,0.42,25090,2023/4/6
34,0.81,29771,2023/6/12
123,0.8,109,2023/4/6
454,0.8,6003983,2023/9/21
1177,0.42,1156,2023/6/24
4985,,2566,2023/7/20
203,0.33,158228,2023/3/31
1015,0.39,26081,2023/9/18
2134,0.88,1896,2023/6/27
16088,0.87,25542,2023/5/31
4465,,3446,2023/1/31
798,,3981,2023/2/19
15455,0.73,403261,2023/8/7
86,,3412,2023/2/22
1110,0.8,102775,2023/10/8
47,0.77,5531343,2023/1/5
700,0.69,13151,2023/8/24
39919,,39719,2022/12/26
722,,719,2023/3/23
31,,3,2023/10/25
1634,,3377,2023/1/17
2631,0.28,1891,2022/12/6
4407,0.92,4214,2023/4/24
4157,0.91,4146,2023/6/11
4185,,3983,2023/6/8
6915,0.87,6466,2023/4/21
115,0.75,585847,2023/2/13
6714,0.6,49783,2023/9/14
30253,0.87,29185,2023/2/2
12309,0.8,14583,2023/3/17
25048,0.84,35692,2023/4/13
106,,26,2023/10/23
5919,,13686,2023/6/27
3643,,2791,2023/9/17
5294,0.36,122263,2023/9/20
326,0.8,5885671,2023/2/2
5415,0.69,42261,2023/7/22
5517,,5468,2023/8/21
3784,,1271,2023/4/7
4586,0.8,36153,2023/3/1
195,,16,2022/12/2
73126,,75785,2023/7/16
6,,8,2023/1/18
372,0.75,3270,2023/5/7
345,,140,2023/9/8
55951,0.82,60278,2023/6/30
4631,0.42,11076,2023/8/22
24069,,23561,2023/9/18
504,0.8,140856,2023/8/25
6183,0.8,521559,2023/5/17
114068,0.75,117074,2023/10/11
525,,1748528,2023/7/2
4722,0.58,2817,2022/12/4
59156,0.85,53837,2023/6/4
5624,0.91,5397,2023/1/7
4955,0.79,2486,2023/6/11
84477,0.8,829928,2023/3/11
7311,0.92,10730,2023/9/22
210,0.8,85,2023/4/6
6548,0.94,6133,2023/7/23
1282,0.39,311436,2022/12/25
2977,,1865,2023/1/25
672,,110,2023/6/20
4719,0.85,3256,2023/3/17
40949,0.89,45412,2023/10/12
5,,599356,2023/4/18
112,,56,2023/7/2
67,,8,2023/1/26
28753,0.85,26282,2023/3/8
2567,0.8,178050,2023/8/11
179,0.8,634,2023/7/27
36496,0.8,281729,2023/7/26
5129,0.75,159767,2023/6/18
192,0.5,1156,2023/2/16
84965,0.85,87980,2023/7/17
899,0.8,47882668,2023/3/12
996,,1437,2023/1/20
401,0.8,2761,2023/6/17
3465,0.8,219,2023/7/17
90,,50,2023/3/2
7690,0.82,379276,2023/1/3
8302,0.91,7663,2022/12/14
20,,5,2022/12/11
975,0.78,992420,2023/1/22
16068,0.8,30030,2023/8/25
22416,0.78,26523,2023/3/11
55221,0.94,76192,2023/1/16
1792,0.42,1087,2023/9/11
3551,0.72,1696,2023/2/17
14058,0.8,14122,2023/4/15
428,,194,2023/4/18
149061,0.75,193287,2023/2/11
2957,0.48,2718,2023/4/11
1843,,2569,2023/7/1
68580,0.9,106129,2022/12/8
3684,0.28,2287,2023/2/20
4715,0.92,3898,2023/6/26
27197,0.8,405919,2023/7/20
520,0.87,65726,2023/7/9
447,0.78,44933,2023/2/10
288,0.8,12370,2023/1/15
2899,0.84,3147,2023/8/22
639,0.8,3658,2022/12/24
22591,0.88,22261,2023/3/5
666,,166,2023/8/23
770,0.31,84605,2023/2/24
275,,140,2023/3/6
46,,232,2023/6/10
1403,,7637,2023/3/7
4942,0.79,25580,2023/8/12
683,0.45,1186,2022/12/2
445,,313,2023/3/10
1908,0.8,1839552,2023/7/14
4938,0.82,4270,2023/10/2
216,,200,2023/2/9
2543,0.77,12185,2023/7/24
755,0.66,340,2023/6/7
2391,0.85,3316,2023/3/1
638,0.75,382,2022/12/8
